39,2,17,3.3299999,29,,1.72,1
66,2,19,2.8299999,,1091,.49000001,0
159,2,17,3.21,,1204,1.25,0
645,2,17,3.04,26,,1.03,0
1292,1,18,3.4100001,31,,2.1600001,1
1315,1,18,3.8599999,,1506,3.26,0
1404,1,19,3.6099999,,1403,2.5699999,0
1691,1,20,2.23,19,,-.58999997,1
1934,2,18,3.23,28,,1.51,1
2045,1,20,3.74,33,,2.6199999,0
2276,1,17,2.8900001,,1159,.94,0
2327,1,17,2,,903,-.75999999,0
2473,1,18,3.79,,1425,2.72,0
2592,2,18,2.3599999,,949,-.44999999,0
2647,1,19,3.27,28,,1.5599999,1
2850,1,20,2.52,,1031,.090000004,0
3074,2,19,3.6600001,,1410,2.6199999,0
3214,2,18,3.3199999,29,,1.67,1
3573,1,19,2.5699999,22,,.12,1
3915,1,19,3.3599999,,1315,1.99,0
3971,2,18,3.8399999,35,,3,0
4178,1,19,3.99,,1557,3.5999999,0
4400,1,19,3.0699999,26,,1.13,1
4495,1,18,3.6099999,,1405,2.5899999,0
4533,2,20,3.3800001,,1319,2.01,0
4807,1,19,3.47,,1344,2.1800001,1
4836,2,19,3.8299999,34,,2.8800001,0
5160,2,18,3.8499999,,1496,3.1900001,1
5161,1,17,2.5799999,22,,.13,0
5289,1,18,2.21,,918,-.66000003,0
5373,1,19,3.3599999,30,,1.99,0
5583,1,18,3.5,31,,2.27,0
5659,1,18,3.8800001,,1517,3.3399999,0
5661,2,17,2.6800001,22,,.16,1
6021,1,19,3.8800001,,1529,3.4100001,0
6165,2,19,2.8099999,,1088,.47999999,0
6215,2,19,2.8499999,,1123,.69999999,0
6236,1,19,2.51,21,,-.07,0
6258,1,19,2.4100001,19,,-.44,0
7192,2,18,3.47,,1343,2.1700001,0
7664,2,20,3.9000001,,1536,3.46,0
7891,2,19,2.47,20,,-.37,0
8139,1,18,2.29,,949,-.44999999,0
8153,2,19,2.75,22,,.28999999,0
8498,1,19,3.4000001,31,,2.1099999,0
8796,1,19,2.77,23,,.43000001,0
9388,1,19,2.1099999,18,,-.69,0
9547,1,19,3.77,,1418,2.6700001,0
9847,1,20,3.5899999,,1398,2.54,0
